"Date","Price","Open","High","Low","Vol.","Change %"
"09/07/2022","5.2480","5.2507","5.2507","5.2483","34.56K","-0.09%"
"09/08/2022","5.2141","5.2483","5.2523","5.1783","195.76K","-0.65%"
"09/09/2022","5.1477","5.2143","5.2146","5.1378","151.12K","-1.27%"
"09/12/2022","5.0930","5.1477","5.1477","5.0834","126.68K","-1.06%"
"09/13/2022","5.1911","5.0918","5.2092","5.0766","177.68K","1.93%"
"09/14/2022","5.1631","5.1922","5.1986","5.1495","136.73K","-0.54%"
"09/15/2022","5.2470","5.1644","5.2502","5.1641","135.04K","1.63%"
"09/16/2022","5.2531","5.2462","5.3105","5.2462","169.32K","0.12%"
"09/19/2022","5.1670","5.2544","5.3029","5.1420","126.67K","-1.64%"
"09/20/2022","5.1417","5.1705","5.2240","5.1406","162.36K","-0.49%"
"09/21/2022","5.1716","5.1430","5.1940","5.1188","195.92K","0.58%"
"09/22/2022","5.1166","5.1728","5.1859","5.1055","194.13K","-1.06%"
"09/23/2022","5.2595","5.1173","5.2693","5.1164","188.07K","2.79%"
"09/26/2022","5.3898","5.2603","5.4174","5.2603","198.86K","2.48%"
"09/27/2022","5.3824","5.3910","5.3954","5.2963","240.28K","-0.14%"
"09/28/2022","5.3745","5.3814","5.4236","5.3226","215.45K","-0.15%"
"09/29/2022","5.3964","5.3765","5.4300","5.3730","226.00K","0.41%"
"09/30/2022","5.4154","5.4013","5.4278","5.3282","191.95K","0.35%"
"10/03/2022","5.1672","5.4158","5.4158","5.1526","162.97K","-4.58%"
"10/04/2022","5.1770","5.1650","5.2218","5.1083","167.00K","0.19%"
"10/05/2022","5.1940","5.1779","5.2442","5.1593","177.29K","0.33%"
"10/06/2022","5.2217","5.1959","5.2333","5.1723","182.70K","0.53%"
"10/07/2022","5.1996","5.2215","5.2533","5.1937","172.97K","-0.42%"
"10/10/2022","5.1901","5.1999","5.2174","5.1625","137.86K","-0.18%"
"10/11/2022","5.3005","5.1899","5.3057","5.1770","174.89K","2.13%"
"10/12/2022","5.2930","5.3034","5.3034","5.2932","8.27K","-0.14%"
"10/13/2022","5.2626","5.2725","5.3817","5.2288","169.10K","-0.57%"
"10/14/2022","5.3252","5.2629","5.3347","5.2407","164.83K","1.19%"
"10/17/2022","5.2808","5.3288","5.3307","5.2531","132.52K","-0.83%"
"10/18/2022","5.2405","5.2833","5.2993","5.2336","176.73K","-0.76%"
"10/19/2022","5.2700","5.2414","5.2998","5.2411","182.98K","0.56%"
"10/20/2022","5.2147","5.2707","5.2716","5.1922","189.24K","-1.05%"
"10/21/2022","5.1605","5.2180","5.2773","5.1404","216.51K","-1.04%"
"10/24/2022","5.3032","5.1649","5.3101","5.1648","177.34K","2.77%"
"10/25/2022","5.3167","5.3037","5.3581","5.2757","180.71K","0.25%"
"10/26/2022","5.3804","5.3166","5.3879","5.2797","183.45K","1.20%"
"10/27/2022","5.3449","5.3807","5.3927","5.2406","186.52K","-0.66%"
"10/28/2022","5.2949","5.3451","5.3832","5.2800","202.54K","-0.94%"
"10/31/2022","5.1791","5.2962","5.4083","5.1531","180.03K","-2.19%"
"11/01/2022","5.1475","5.1803","5.2069","5.0830","208.66K","-0.61%"
"11/02/2022","5.1432","5.1475","5.1480","5.1437","","-0.08%"
"11/03/2022","5.1137","5.1437","5.2244","5.0830","203.31K","-0.57%"
"11/04/2022","5.0557","5.1170","5.1170","5.0184","180.05K","-1.13%"
"11/07/2022","5.1567","5.0571","5.1757","5.0461","158.14K","2.00%"
"11/08/2022","5.1440","5.1572","5.2488","5.1298","181.41K","-0.25%"
"11/09/2022","5.1864","5.1444","5.2014","5.1364","186.74K","0.82%"
"11/10/2022","5.3449","5.1869","5.4155","5.1869","244.22K","3.06%"
"11/11/2022","5.3250","5.3454","5.4066","5.2484","179.78K","-0.37%"
"11/14/2022","5.3321","5.3253","5.3527","5.2589","164.62K","0.13%"
"11/15/2022","5.3325","5.3333","5.3333","5.3328","0.01K","0.01%"
"11/16/2022","5.3998","5.3330","5.4057","5.2868","146.98K","1.26%"
"11/17/2022","5.4231","5.4003","5.5307","5.3866","167.68K","0.43%"
"11/18/2022","5.3827","5.4236","5.4236","5.3253","156.99K","-0.74%"
"11/20/2022","5.3832","5.3832","5.3832","5.3832","","0.01%"
"11/21/2022","5.3088","5.3832","5.3832","5.2987","166.60K","-1.38%"
